,street_name,average_total_count,collisions,lat,lng
707,OLD TOWN AV,1175.0,2,32.747957,-117.193299
709,OLIVETAS AV,2886.0,2,32.834953,-117.278503
710,OLNEY ST,964.6,7,32.804085,-117.230438
711,OLVERA AV,929.3333333333335,12,32.697933,-117.081352
712,ORANGE AV,324.3636363636364,99,32.754063,-117.12516
713,ORCHARD AV,2468.0,4,32.735615,-117.247482
714,ORCUTT AV,607.0,1,32.791256,-117.084198
715,ORO VISTA RD,1278.4285714285713,17,32.566563,-117.078149
717,OSLER ST,1094.6,6,32.792896,-117.171631
718,OTAY CENTER DR,1281.6666666666667,6,32.55571,-116.94294
720,OTAY MESA RD,440.5757575757576,17,32.568319,-117.004494
721,OTAY VALLEY RD,2765.0,1,32.580154,-117.000654
722,OTHELLO AV,274.22222222222223,14,32.817143,-117.154723
723,OUTER RD,1136.0,5,32.577828,-117.082358
725,PACIFIC BEACH DR,183.2173913043478,29,32.796588,-117.227988
733,PACIFICA DR,1211.0,3,32.820221,-117.231628
734,PALM AV,306.04444444444437,145,32.683661,-117.091815
735,PALM ST,1836.5,27,32.735325,-117.084007
736,PALMILLA DR,1648.333333333333,11,32.862036,-117.225226
737,PALOMAR AV,799.0,3,32.826908,-117.276428
738,PARADISE HILLS RD,1854.0,1,32.693352,-117.044487
739,PARADISE VALLEY RD,440.2647058823529,67,32.688251,-117.048828
742,PARK VILLAGE RD,1283.076923076923,10,32.940093,-117.148956
743,PARKDALE AV,331.1818181818182,10,32.90406,-117.156052
744,PARKSIDE AV,975.0,17,32.669075,-117.050232
757,PEARL ST,303.3,26,32.839802,-117.27552
758,PEGASUS AV,571.4,2,32.889739,-117.134741
759,PENASQUITOS DR,2511.333333333333,5,32.984284,-117.091729
761,PENNSYLVANIA AV,690.7142857142858,8,32.745136,-117.1604
763,PERSHING DR,3054.4545454545455,28,32.731001,-117.138275
765,PETIT ST,1242.3333333333333,3,32.818134,-117.1692
766,PHYLLIS PL,2550.0,1,32.784724,-117.145878
768,PICCARD AV,777.25,5,32.579456,-117.05024
769,PICO ST,4551.5,2,32.807331,-117.223267
